
---------- Begin Simulation Statistics ----------
simSeconds                                   1.027399                       # Number of seconds simulated (Second)
simTicks                                 1027398554000                       # Number of ticks simulated (Tick)
finalTick                                1027398554000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4442.86                       # Real time elapsed on the host (Second)
hostTickRate                                231247330                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8624412                       # Number of bytes of host memory used (Byte)
simInsts                                    911822724                       # Number of instructions simulated (Count)
simOps                                     1994782874                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   205233                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     448986                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1027398555                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.126753                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.887506                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      2026860202                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2342                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     2017742232                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 622694                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             32079658                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          48634612                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 131                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1024634207                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.969232                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.753527                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 246984654     24.10%     24.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 261751853     25.55%     49.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 167308601     16.33%     65.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 121507095     11.86%     77.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 130963301     12.78%     90.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  54106582      5.28%     95.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  33534362      3.27%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   6562466      0.64%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1915293      0.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1024634207                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2504984     91.51%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     91.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     91.51% # attempts to use FU when none available (Count)
