
---------- Begin Simulation Statistics ----------
simSeconds                                   1.019650                       # Number of seconds simulated (Second)
simTicks                                 1019650260000                       # Number of ticks simulated (Tick)
finalTick                                1019650260000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4814.10                       # Real time elapsed on the host (Second)
hostTickRate                                211804949                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8626460                       # Number of bytes of host memory used (Byte)
simInsts                                    911822724                       # Number of instructions simulated (Count)
simOps                                     1994782874                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   189407                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     414362                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1019650261                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.118255                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.894250                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      2002818681                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2326                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     2000400383                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 233179                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              8038121                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          13345857                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 115                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1016966625                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.967027                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.744297                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 243131905     23.91%     23.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 261226779     25.69%     49.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 167141206     16.44%     66.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 120997617     11.90%     77.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 130616326     12.84%     90.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  52939440      5.21%     95.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  33514336      3.30%     99.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5542307      0.54%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1856709      0.18%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1016966625                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2248946     89.43%     89.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     89.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     89.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     89.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     89.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     89.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     89.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     89.43% # attempts to use FU when none available (Count)
