
---------- Begin Simulation Statistics ----------
simSeconds                                   2.137916                       # Number of seconds simulated (Second)
simTicks                                 2137916129000                       # Number of ticks simulated (Tick)
finalTick                                2137916129000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   8175.45                       # Real time elapsed on the host (Second)
hostTickRate                                261504471                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8756476                       # Number of bytes of host memory used (Byte)
simInsts                                   1550556982                       # Number of instructions simulated (Count)
simOps                                     2723486494                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   189660                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     333130                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       2137916130                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.378805                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.725266                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      4211186117                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   340720                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3870735792                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               13029118                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           1488040322                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1988917968                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               28709                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2132375557                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.815222                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.385866                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 979459011     45.93%     45.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 326186594     15.30%     61.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 242203412     11.36%     72.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 146125135      6.85%     79.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  90119655      4.23%     83.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  81432585      3.82%     87.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 104150844      4.88%     92.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  72366208      3.39%     95.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  90332113      4.24%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2132375557                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                13458372     77.83%     77.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     77.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     77.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     77.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     77.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     77.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     77.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     77.83% # attempts to use FU when none available (Count)
