
---------- Begin Simulation Statistics ----------
simSeconds                                   1.005509                       # Number of seconds simulated (Second)
simTicks                                 1005509167000                       # Number of ticks simulated (Tick)
finalTick                                1005509167000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4007.32                       # Real time elapsed on the host (Second)
hostTickRate                                250918297                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9052448                       # Number of bytes of host memory used (Byte)
simInsts                                    658484119                       # Number of instructions simulated (Count)
simOps                                     1506672630                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   164320                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     375980                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1005509168                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.527006                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.654876                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1964844442                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    12752                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1751324173                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1066944                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            458184542                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1059763032                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                5909                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           998928618                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.753203                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.226638                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 490445622     49.10%     49.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 112961367     11.31%     60.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  79775233      7.99%     68.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  73016815      7.31%     75.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 104799318     10.49%     86.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  46504340      4.66%     90.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  46813955      4.69%     95.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  29736551      2.98%     98.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  14875417      1.49%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             998928618                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                26454031     86.27%     86.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     86.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     86.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     86.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     86.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     86.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     86.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     86.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     86.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     86.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     86.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     43      0.00%     86.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     86.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 428125      1.40%     87.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      4      0.00%     87.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                  13881      0.05%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                 17652      0.06%     87.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     87.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     87.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     87.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                11077      0.04%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     87.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     87.81% # attempts to use FU when none available (Count)
