
---------- Begin Simulation Statistics ----------
simSeconds                                   1.019694                       # Number of seconds simulated (Second)
simTicks                                 1019693623000                       # Number of ticks simulated (Tick)
finalTick                                1019693623000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5039.33                       # Real time elapsed on the host (Second)
hostTickRate                                202347121                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8625436                       # Number of bytes of host memory used (Byte)
simInsts                                   1114990015                       # Number of instructions simulated (Count)
simOps                                     2441693369                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   221258                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     484527                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1019693624                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.914532                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.093456                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      2454032612                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     8725                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     2450224791                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 288794                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12347956                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19538383                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                6514                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1019144902                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.404197                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.666733                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 135423100     13.29%     13.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 197120662     19.34%     32.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 244671261     24.01%     56.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 183292446     17.98%     74.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 140213954     13.76%     88.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  66645280      6.54%     94.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  44779989      4.39%     99.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4863561      0.48%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2134649      0.21%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1019144902                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2308953     87.73%     87.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     87.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     87.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     87.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     87.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     87.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     87.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     87.73% # attempts to use FU when none available (Count)
