
---------- Begin Simulation Statistics ----------
simSeconds                                   1.019499                       # Number of seconds simulated (Second)
simTicks                                 1019498761000                       # Number of ticks simulated (Tick)
finalTick                                1019498761000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4986.76                       # Real time elapsed on the host (Second)
hostTickRate                                204441107                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8625436                       # Number of bytes of host memory used (Byte)
simInsts                                   1128501112                       # Number of instructions simulated (Count)
simOps                                     2471413970                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   226299                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     495595                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1019498762                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.903410                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.106918                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      2483996488                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2390                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     2480107233                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 289468                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12584896                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          20011075                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 179                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1019368457                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.432984                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.711483                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 124961259     12.26%     12.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 229783386     22.54%     34.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 210361850     20.64%     55.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 181152892     17.77%     73.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 160238417     15.72%     88.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  51700086      5.07%     94.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  43643549      4.28%     98.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  15390065      1.51%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2136953      0.21%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1019368457                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2298197     87.72%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      1      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    133      0.01%     87.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     87.72% # attempts to use FU when none available (Count)
