
---------- Begin Simulation Statistics ----------
simSeconds                                   2.090015                       # Number of seconds simulated (Second)
simTicks                                 2090015053000                       # Number of ticks simulated (Tick)
finalTick                                2090015053000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   9361.96                       # Real time elapsed on the host (Second)
hostTickRate                                223245340                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8787196                       # Number of bytes of host memory used (Byte)
simInsts                                   1956594446                       # Number of instructions simulated (Count)
simOps                                     3435611143                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   208994                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     366975                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       2090015054                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.068190                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.936163                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      5083999094                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   450337                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     4747665738                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               18598917                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           1648838267                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        2071921269                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               49667                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2082922931                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.279329                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.616396                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 855622369     41.08%     41.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 209317812     10.05%     51.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 255673368     12.27%     63.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 196631327      9.44%     72.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 115654609      5.55%     78.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  94924352      4.56%     82.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 121231597      5.82%     88.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  98462545      4.73%     93.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 135404952      6.50%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2082922931                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                17744618     81.36%     81.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     81.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     81.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     81.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     81.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     81.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     81.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     81.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     81.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     81.36% # attempts to use FU when none available (Count)
