
---------- Begin Simulation Statistics ----------
simSeconds                                   1.406626                       # Number of seconds simulated (Second)
simTicks                                 1406625506000                       # Number of ticks simulated (Tick)
finalTick                                1406625506000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7104.62                       # Real time elapsed on the host (Second)
hostTickRate                                197987408                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8625432                       # Number of bytes of host memory used (Byte)
simInsts                                   1614599744                       # Number of instructions simulated (Count)
simOps                                     2897865311                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   227260                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     407885                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1406625507                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.871191                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.147853                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      3757058192                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2372                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3677161801                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2993621                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            859195241                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         587646965                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 137                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1406471757                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.614458                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.915116                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 641195883     45.59%     45.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  95758307      6.81%     52.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  66549793      4.73%     57.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  77785010      5.53%     62.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  72869979      5.18%     67.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  79105011      5.62%     73.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 170376593     12.11%     85.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 116965099      8.32%     93.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  85866082      6.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1406471757                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               148240668     96.12%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      2      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    134      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      2      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    240      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    15      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     96.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     96.12% # attempts to use FU when none available (Count)
