
---------- Begin Simulation Statistics ----------
simSeconds                                   1.034029                       # Number of seconds simulated (Second)
simTicks                                 1034029220000                       # Number of ticks simulated (Tick)
finalTick                                1034029220000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4967.54                       # Real time elapsed on the host (Second)
hostTickRate                                208157211                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9312532                       # Number of bytes of host memory used (Byte)
simInsts                                   1223414299                       # Number of instructions simulated (Count)
simOps                                     2191258170                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   246282                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     441115                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1034029221                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.845200                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.183153                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      2378882750                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4981                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     2364668230                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 138514                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            187629550                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          79424753                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 935                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1033508334                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.288001                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.735561                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 486894825     47.11%     47.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  86676992      8.39%     55.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  62833704      6.08%     61.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  74363802      7.20%     68.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  61193830      5.92%     74.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  65826055      6.37%     81.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  71370744      6.91%     87.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  67684691      6.55%     94.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  56663691      5.48%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1033508334                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                53485883     92.40%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      2      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    130      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      2      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    219      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    17      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   82      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     92.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     92.40% # attempts to use FU when none available (Count)
