
---------- Begin Simulation Statistics ----------
simSeconds                                   1.016221                       # Number of seconds simulated (Second)
simTicks                                 1016220877000                       # Number of ticks simulated (Tick)
finalTick                                1016220877000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3521.84                       # Real time elapsed on the host (Second)
hostTickRate                                288547965                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9226528                       # Number of bytes of host memory used (Byte)
simInsts                                    801684250                       # Number of instructions simulated (Count)
simOps                                     1834612616                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   227632                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     520924                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       1016220878                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.267607                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.788888                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      2502902153                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    18427                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     2181737602                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2533607                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            668307942                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1547410935                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               10699                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1008376876                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.163613                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.567395                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 471695731     46.78%     46.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  88550739      8.78%     55.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  61519811      6.10%     61.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  61924225      6.14%     67.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 121841105     12.08%     79.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  50567587      5.01%     84.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  63269679      6.27%     91.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  47509855      4.71%     95.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  41498144      4.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1008376876                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                40795151     86.75%     86.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     86.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     86.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     86.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     86.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     86.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     86.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     86.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     86.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     86.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     86.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     28      0.00%     86.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     86.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 141528      0.30%     87.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      8      0.00%     87.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                  18232      0.04%     87.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                 22746      0.05%     87.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     87.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     87.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     87.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                 5943      0.01%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     87.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     87.15% # attempts to use FU when none available (Count)
